方法,分类,注释,参数,解释,例子
qhkc_tool_gdp,奇货可查-工具模块,奇货可查-工具-各地区经济数据,url,"奇货可查-工具-各地区经济数据\n  实时更新数据, 暂不能查询历史数据\n  :param url:\n  :return: pandas.DataFrame\n  国家  国内生产总值 国内生产总值YoY 国内生产总值QoQ  ...       预算       债务   经常账户       人口\n   美国   20494     2.30%     2.00%  ...   -3.80%  106.10%  -2.40   327.17\n  欧元区   13670     1.20%     0.20%  ...   -0.50%   85.10%   2.90   341.15\n   中国   13608     6.20%     1.60%  ...   -4.20%   50.50%   0.40  1395.38\n   日本    4971     1.00%     0.30%  ...   -3.80%  238.20%   3.50   126.25\n   德国    3997     0.40%    -0.10%  ...    1.70%   60.90%   7.30    82.85\n   英国    2825     1.30%    -0.20%  ...   -2.00%   84.70%  -3.90    66.19\n   法国    2778     1.40%     0.30%  ...   -2.50%   98.40%  -0.30    67.19\n   印度    2726     5.00%     1.00%  ...   -3.42%   68.30%  -2.30  1298.04\n  意大利    2074    -0.10%     0.00%  ...   -2.10%  134.80%   2.50    60.48\n   巴西    1869     1.00%     0.40%  ...   -7.10%   77.22%  -0.77   208.49\n  加拿大    1709     1.60%     0.90%  ...   -0.70%   90.60%  -2.60    37.31\n  俄罗斯    1658     0.90%     0.20%  ...    2.70%   13.50%   7.00   146.90\n   韩国    1619     2.00%     1.00%  ...   -1.60%   36.60%   4.70    51.61\n 澳大利亚    1432     1.40%     0.50%  ...   -0.60%   40.70%  -1.50    25.18\n  西班牙    1426     2.00%     0.40%  ...   -2.50%   97.10%   0.90    46.66\n  墨西哥    1224    -0.80%     0.00%  ...   -2.00%   46.00%  -1.80   125.33\n   印尼    1042     5.05%     4.20%  ...   -1.76%   29.80%  -3.00   264.20\n   荷兰     913     1.80%     0.40%  ...    1.50%   52.40%  10.80    17.12\n沙特阿拉伯     782     0.50%     0.00%  ...   -9.20%   19.10%   9.20    33.41\n  土耳其     767    -1.50%     1.20%  ...   -2.00%   30.40%  -3.50    82.00\n   瑞士     706     0.20%     0.30%  ...    1.30%   27.70%  10.20     8.48\n   台湾     589     2.40%     0.67%  ...   -1.90%   30.90%  11.60    23.58\n   波兰     586     4.50%     0.80%  ...   -0.40%   48.90%  -0.70    37.98\n   瑞典     551     1.00%     0.10%  ...    0.90%   38.80%   2.00    10.12\n  比利时     532     1.20%     0.20%  ...   -0.70%  102.00%  -1.30    11.41\n  阿根廷     519     0.60%    -0.30%  ...   -5.50%   86.20%  -5.40    44.50\n   泰国     505     2.30%     0.60%  ...   -2.50%   41.80%   7.50    66.41\n 委内瑞拉     482   -22.50%    -5.40%  ...  -20.00%   23.00%   6.00    31.83\n  奥地利     456     1.50%     0.30%  ...    0.10%   73.80%   2.30     8.82\n   伊朗     454     1.80%       NaN  ...   -3.90%   44.20%   1.30    82.10\n   挪威     435    -0.70%     0.30%  ...    7.30%   36.30%   8.10     5.30\n  阿联酋     414     2.20%     1.70%  ...   -1.80%   18.60%   9.10     9.60\n 尼日利亚     397     1.94%     2.85%  ...   -2.80%   18.20%   2.30   195.87\n  爱尔兰     376     5.80%     0.70%  ...    0.00%   64.80%   9.10     4.84\n  以色列     370     3.20%     0.30%  ...   -1.90%   61.00%   1.90     8.97\n   南非     366     0.90%     3.10%  ...   -4.40%   55.80%  -3.60    58.78\n  新加坡     364     0.10%    -3.30%  ...    0.40%  112.20%  17.70     5.64\n   香港     363     0.50%    -0.40%  ...    2.10%   38.40%   4.30     7.48\n 马来西亚     354     4.90%     1.00%  ...   -3.70%   51.80%   2.30    32.40\n   丹麦     351     2.60%     0.90%  ...    0.50%   34.10%   6.10     5.78\n  菲律宾     331     5.50%     1.40%  ...   -3.20%   41.90%  -2.40   107.00\n 哥伦比亚     330     3.00%     1.40%  ...   -3.10%   50.50%  -3.80    49.83\n 巴基斯坦     313     5.20%     5.79%  ...   -6.60%   72.50%  -4.80   212.22\n   智利     298     1.90%     0.80%  ...   -1.70%   25.60%  -3.10    18.75\n   芬兰     276     1.20%     0.50%  ...   -0.70%   58.90%  -1.90     5.51\n 孟加拉国     274     7.90%     7.90%  ...   -4.80%   27.90%  -3.60   163.70\n   埃及     251     5.70%     5.40%  ...   -8.20%   90.50%  -2.40    98.00\n   越南     245     7.31%     6.88%  ...   -3.50%   57.50%   3.00    94.67\n捷克共和国     244     2.70%     0.70%  ...    0.90%   32.70%   0.30    10.61",
rate_interbank,宏观-经济数据-银行间拆借利率,东方财富-拆借利率一览-具体市场的具体品种的具体指标的拆借利率数据,market;symbol;indicator,"东方财富-拆借利率一览-具体市场的具体品种的具体指标的拆借利率数据\n具体 market 和 symbol 参见: https://data.eastmoney.com/shibor/shibor.aspx?m=sg&t=88&d=99333&cu=sgd&type=009065&p=79\n:param market: choice of {""上海银行同业拆借市场"", ""中国银行同业拆借市场"", ""伦敦银行同业拆借市场"", ""欧洲银行同业拆借市场"", ""香港银行同业拆借市场"", ""新加坡银行同业拆借市场""}\n:type market: str\n:param symbol: choice of {""Shibor人民币"", ""Chibor人民币"", ""Libor英镑"", ""***"", ""Sibor美元""}\n:type symbol: str\n:param indicator: choice of {""隔夜"", ""1周"", ""2周"", ""***"", ""1年""}\n:type indicator: str\n:return: 具体市场的具体品种的具体指标的拆借利率数据\n:rtype: pandas.DataFrame",
reits_hist_em,REITs,东方财富网-行情中心-REITs-沪深 REITs-历史行情,symbol,东方财富网-行情中心-REITs-沪深 REITs-历史行情\nhttps://quote.eastmoney.com/sh508097.html\n:param symbol: REITs 代码\n:type symbol: str\n:return: 沪深 REITs-历史行情\n:rtype: pandas.DataFrame,
reits_realtime_em,REITs,东方财富网-行情中心-REITs-沪深 REITs,,东方财富网-行情中心-REITs-沪深 REITs\nhttps://quote.eastmoney.com/center/gridlist.html#fund_reits_all\n:return: 沪深 REITs-实时行情\n:rtype: pandas.DataFrame,
repo_rate_hist,回购定盘利率,中国外汇交易中心暨全国银行间同业拆借中心-回购定盘利率-历史数据,start_date;end_date,"中国外汇交易中心暨全国银行间同业拆借中心-回购定盘利率-历史数据\nhttps://www.chinamoney.com.cn/chinese/bkfrr/\n:param start_date: 开始时间, 开始时间与结束时间需要在一个月内\n:type start_date: str\n:param end_date: 结束时间, 开始时间与结束时间需要在一个月内\n:type end_date: str\n:return: 回购定盘利率-历史数据\n:rtype: pandas.DataFrame",
repo_rate_query,回购定盘利率,中国外汇交易中心暨全国银行间同业拆借中心-回购定盘利率-历史数据,symbol,"中国外汇交易中心暨全国银行间同业拆借中心-回购定盘利率-历史数据\nhttps://www.chinamoney.com.cn/chinese/bkfrr/\n:param symbol: choice of {""回购定盘利率"", ""银银间回购定盘利率""}\n:type symbol: str\n:return: 回购定盘利率-历史数据\n:rtype: pandas.DataFrame",
rv_from_futures_zh_minute_sina,已实现波动率,"从新浪财经获取期货的分钟级历史行情数据,并进行数据清洗和格式化",symbol;period,"从新浪财经获取期货的分钟级历史行情数据,并进行数据清洗和格式化\nhttps://vip.stock.finance.sina.com.cn/quotes_service/view/qihuohangqing.html#titlePos_3\n:param symbol: 期货合约代码,如""IF2008""代表沪深300期货2020年8月合约\n:type symbol: str\n:param period: 时间周期,可选{'1','5','15','30','60'}分钟\n:type period: str\n:return: 整理后的分钟行情数据,包含Date(索引),Open,High,Low,Close列\n:rtype: pandas.DataFrame",
rv_from_stock_zh_a_hist_min_em,已实现波动率,"从东方财富网获取股票的分钟级历史行情数据,并进行数据清洗和格式化为计算 yz 已实现波动率所需的数据格式",symbol;start_date;end_date;period;adjust,"从东方财富网获取股票的分钟级历史行情数据,并进行数据清洗和格式化为计算 yz 已实现波动率所需的数据格式\nhttps://quote.eastmoney.com/concept/sh603777.html?from=classic\n:param symbol: 股票代码,如""000001""\n:type symbol: str\n:param start_date: 开始日期时间,格式""YYYY-MM-DD HH:MM:SS""\n:type start_date: str\n:param end_date: 结束日期时间,格式""YYYY-MM-DD HH:MM:SS""\n:type end_date: str\n:param period: 时间周期,可选{'1','5','15','30','60'}分钟\n:type period: str\n:param adjust: 复权方式,可选{'','qfq'(前复权),'hfq'(后复权)}\n:type adjust: str\n:return: 整理后的分钟行情数据,包含Date(索引),Open,High,Low,Close列\n:rtype: pandas.DataFrame",
set_token,,,token,,
spot_corn_price_soozhu,搜猪-生猪大数据-各省均价实时排行榜,搜猪-生猪大数据-全国玉米价格走势,,搜猪-生猪大数据-全国玉米价格走势\nhttps://www.soozhu.com/price/data/center/\n:return: 全国玉米价格走势\n:rtype: pandas.DataFrame,
spot_golden_benchmark_sge,上海黄金交易所-数据资讯-行情走势,上海黄金交易所-数据资讯-上海金基准价-历史数据,,上海黄金交易所-数据资讯-上海金基准价-历史数据\nhttps://www.sge.com.cn/sjzx/jzj\n:return: 历史数据\n:rtype: pandas.DataFrame,
spot_goods,大宗商品-现货价格指数,新浪财经-商品现货价格指数,symbol,"新浪财经-商品现货价格指数\nhttps://finance.sina.com.cn/futuremarket/spotprice.shtml#titlePos_0\n:param symbol: choice of {""波罗的海干散货指数"", ""钢坯价格指数"", ""澳大利亚粉矿价格""}\n:type symbol: str\n:return: 商品现货价格指数\n:rtype: pandas.DataFrame",
spot_hist_sge,上海黄金交易所-数据资讯-行情走势,上海黄金交易所-数据资讯-行情走势-历史数据,symbol,"上海黄金交易所-数据资讯-行情走势-历史数据\nhttps://www.sge.com.cn/sjzx/mrhq\n:param symbol: choice of {'Au99.99', 'Au99.95', 'Au100g', 'Pt99.95', 'Ag(T+D)', 'Au(T+D)',\n'mAu(T+D)', 'Au(T+N1)', 'Au(T+N2)', 'Ag99.99', 'iAu99.99', 'Au99.5', 'iAu100g', 'iAu99.5',\n'PGC30g', 'NYAuTN06', 'NYAuTN12'}; 可以通过 ak.spot_symbol_table_sge() 获取品种表\n:type symbol: str\n:return: 历史数据\n:rtype: pandas.DataFrame",
spot_hog_crossbred_soozhu,搜猪-生猪大数据-各省均价实时排行榜,搜猪-生猪大数据-全国后备二元母猪,,搜猪-生猪大数据-全国后备二元母猪\nhttps://www.soozhu.com/price/data/center/\n:return: 全国后备二元母猪\n:rtype: pandas.DataFrame,
spot_hog_lean_price_soozhu,搜猪-生猪大数据-各省均价实时排行榜,搜猪-生猪大数据-全国瘦肉型肉猪,,搜猪-生猪大数据-全国瘦肉型肉猪\nhttps://www.soozhu.com/price/data/center/\n:return: 全国瘦肉型肉猪\n:rtype: pandas.DataFrame,
spot_hog_soozhu,搜猪-生猪大数据-各省均价实时排行榜,搜猪-生猪大数据-各省均价实时排行榜,,搜猪-生猪大数据-各省均价实时排行榜\nhttps://www.soozhu.com/price/data/center/\n:return: 各省均价实时排行榜\n:rtype: pandas.DataFrame,
spot_hog_three_way_soozhu,搜猪-生猪大数据-各省均价实时排行榜,搜猪-生猪大数据-全国三元仔猪,,搜猪-生猪大数据-全国三元仔猪\nhttps://www.soozhu.com/price/data/center/\n:return: 全国三元仔猪\n:rtype: pandas.DataFrame,
spot_hog_year_trend_soozhu,搜猪-生猪大数据-各省均价实时排行榜,搜猪-生猪大数据-今年以来全国出栏均价走势,,搜猪-生猪大数据-今年以来全国出栏均价走势\nhttps://www.soozhu.com/price/data/center/\n:return: 今年以来全国出栏均价走势\n:rtype: pandas.DataFrame,
spot_mixed_feed_soozhu,搜猪-生猪大数据-各省均价实时排行榜,搜猪-生猪大数据-全国育肥猪合料（含自配料）半月走势,,搜猪-生猪大数据-全国育肥猪合料（含自配料）半月走势\nhttps://www.soozhu.com/price/data/center/\n:return: 全国育肥猪合料（含自配料）半月走势\n:rtype: pandas.DataFrame,
spot_price_qh,现货走势,99 期货-数据-期现-现货走势,symbol,99 期货-数据-期现-现货走势\nhttps://www.99qh.com/data/spotTrend\n:param symbol: 品种名称\n:type symbol: str\n:return: 现货走势\n:rtype: pandas.DataFrame,
spot_price_table_qh,现货走势,99 期货-数据-期现-交易所与品种对照表,,99 期货-数据-期现-交易所与品种对照表\nhttps://www.99qh.com/data/spotTrend\n:return: 交易所与品种对照表\n:rtype: pandas.DataFrame,
spot_quotations_sge,上海黄金交易所-数据资讯-行情走势,上海黄金交易所-实时行情数据,symbol,"上海黄金交易所-实时行情数据\nhttps://www.sge.com.cn/\nhttps://www.sge.com.cn/graph/quotations\n:param symbol: choice of {'Au99.99', 'Au99.95', 'Au100g', 'Pt99.95', 'Ag(T+D)', 'Au(T+D)',\n'mAu(T+D)', 'Au(T+N1)', 'Au(T+N2)', 'Ag99.99', 'iAu99.99', 'Au99.5', 'iAu100g',\n'iAu99.5', 'PGC30g', 'NYAuTN06', 'NYAuTN12'}; 可以通过 ak.spot_symbol_table_sge() 获取品种表\n:type symbol: str\n:return: 行情数据\n:rtype: pandas.DataFrame",
spot_silver_benchmark_sge,上海黄金交易所-数据资讯-行情走势,上海黄金交易所-数据资讯-上海银基准价-历史数据,,上海黄金交易所-数据资讯-上海银基准价-历史数据\nhttps://www.sge.com.cn/sjzx/mrhq\n:return: 历史数据\n:rtype: pandas.DataFrame,
spot_soybean_price_soozhu,搜猪-生猪大数据-各省均价实时排行榜,搜猪-生猪大数据-全国豆粕价格走势,,搜猪-生猪大数据-全国豆粕价格走势\nhttps://www.soozhu.com/price/data/center/\n:return: 全国豆粕价格走势\n:rtype: pandas.DataFrame,
spot_symbol_table_sge,上海黄金交易所-数据资讯-行情走势,上海黄金交易所-数据资讯-行情走势-品种表,,上海黄金交易所-数据资讯-行情走势-品种表\nhttps://www.sge.com.cn/sjzx/mrhq\n:return: 品种表\n:rtype: pandas.DataFrame,
stock_a_all_pb,全部 A 股-等权重、中位数市净率,全部A股-等权重市净率、中位数市净率,,全部A股-等权重市净率、中位数市净率\nhttps://legulegu.com/stockdata/all-pb\n:return: 全部A股-等权重市盈率、中位数市盈率\n:rtype: pandas.DataFrame,
stock_a_below_net_asset_statistics,A 股PE和PB,破净股统计历史走势,symbol,"破净股统计历史走势\nhttps://www.legulegu.com/stockdata/below-net-asset-statistics\n:param symbol: choice of {""全部A股"", ""沪深300"", ""上证50"", ""中证500""}\n:type symbol: str\n:return: 破净股统计历史走势\n:rtype: pandas.DataFrame",
stock_a_code_to_symbol,股票指数-股票指数-成份股,输入股票代码判断股票市场,symbol,输入股票代码判断股票市场\n:param symbol: 股票代码\n:type symbol: str\n:return: 股票市场\n:rtype: str,
stock_a_congestion_lg,乐咕乐股-大盘拥挤度,乐咕乐股-大盘拥挤度,,乐咕乐股-大盘拥挤度\nhttps://legulegu.com/stockdata/ashares-congestion\n:return: 大盘拥挤度\n:rtype: pandas.DataFrame,
stock_a_gxl_lg,乐咕乐股-股息率-A 股股息率,乐咕乐股-股息率-A 股股息率,symbol,"乐咕乐股-股息率-A 股股息率\nhttps://legulegu.com/stockdata/guxilv\n:param symbol: choice of {""上证A股"", ""深证A股"", ""创业板"", ""科创板""}\n:type symbol: str\n:return: A 股股息率\n:rtype: pandas.DataFrame",
stock_a_high_low_statistics,A 股PE和PB,乐咕乐股-创新高、新低的股票数量,symbol,"乐咕乐股-创新高、新低的股票数量\nhttps://www.legulegu.com/stockdata/high-low-statistics\n:param symbol: choice of {""all"", ""sz50"", ""hs300"", ""zz500""}\n:type symbol: str\n:return: 创新高、新低的股票数量\n:rtype: pandas.DataFrame",
stock_a_indicator_lg,A 股PE和PB,"市盈率, 市净率, 股息率数据接口",symbol,"市盈率, 市净率, 股息率数据接口\nhttps://legulegu.com/stocklist\n:param symbol: 通过 ak.stock_a_indicator_lg(symbol=""all"") 来获取所有股票的代码\n:type symbol: str\n:return: 市盈率, 市净率, 股息率查询\n:rtype: pandas.DataFrame",
stock_a_ttm_lyr,全部 A 股-等权重市盈率、中位数市盈率,全部 A 股-等权重市盈率、中位数市盈率,,全部 A 股-等权重市盈率、中位数市盈率\nhttps://www.legulegu.com/stockdata/a-ttm-lyr\n:return: 全部A股-等权重市盈率、中位数市盈率\n:rtype: pandas.DataFrame,
stock_account_statistics_em,东方财富-股票账户,东方财富网-数据中心-特色数据-股票账户统计,,东方财富网-数据中心-特色数据-股票账户统计\nhttps://data.eastmoney.com/cjsj/gpkhsj.html\n:return: 股票账户统计数据\n:rtype: pandas.DataFrame,
stock_add_stock,stock-fundamental,新浪财经-发行与分配-增发,symbol,新浪财经-发行与分配-增发\nhttps://vip.stock.finance.sina.com.cn/corp/go.php/vISSUE_AddStock/stockid/600004.phtml\n:param symbol: 股票代码\n:type symbol: str\n:return: 返回增发详情\n:rtype: pandas.DataFrame,
stock_allotment_cninfo,巨潮资讯-数据浏览器-筹资指标-公司配股实施方案,巨潮资讯-个股-配股实施方案,symbol;start_date;end_date,巨潮资讯-个股-配股实施方案\nhttps://webapi.cninfo.com.cn/#/dataBrowse\n:param symbol: 股票代码\n:type symbol: str\n:param start_date: 开始查询的日期\n:type symbol: str\n:param end_date: 结束查询的日期\n:type symbol: str\n:return: 配股实施方案\n:rtype: pandas.DataFrame,
stock_analyst_detail_em,stock-em-analyst,东方财富网-数据中心-研究报告-东方财富分析师指数-东方财富分析师指数2020最新排行-分析师详情,analyst_id;indicator,"东方财富网-数据中心-研究报告-东方财富分析师指数-东方财富分析师指数2020最新排行-分析师详情\nhttps://data.eastmoney.com/invest/invest/11000257131.html\n:param analyst_id: 分析师 ID, 从 ak.stock_analyst_rank_em() 获取\n:type analyst_id: str\n:param indicator: choice of {""最新跟踪成分股"", ""历史跟踪成分股"", ""历史指数""}\n:type indicator: str\n:return: 具体指标的数据\n:rtype: pandas.DataFrame",
stock_analyst_rank_em,stock-em-analyst,东方财富网-数据中心-研究报告-东方财富分析师指数-东方财富分析师指数,year,东方财富网-数据中心-研究报告-东方财富分析师指数-东方财富分析师指数\nhttps://data.eastmoney.com/invest/invest/list.html\n:param year: 从 2015 年至今\n:type year: str\n:return: 东方财富分析师指数\n:rtype: pandas.DataFrame,
